id,set,status,program,subsection,page,question,reference_answer,supporting_quote,decision,corrected_answer,notes
G-08-004-03,golden,draft,8,8.4,56,Boss wants me to use a tag instead of a lock on a disconnect that has a lockout point - is that okay?,"No, if the energy source has a lockout point, you must always use a lock over a tag since the company doesn't consider tags as secure as locks. Tags should only be used when the energy source does not have a lockout point. If you can't affix a lock, contact your supervisor for guidance since there may be other ways to lock out that energy source.","If the energy source has a lockout point, always use locks over tags. Only when an energy source does not have a lockout point, should a tag be used",,,question_type=rule; drafted by claude-sonnet-5
G-08-012-04,golden,draft,8,8.12,59,Can I leave my personal lock on equipment overnight and let someone else finish the job tomorrow?,"If a job isn't complete at shift's end, there must be continuity of the lockout - the incoming worker should place their personal lock on all lockout points before you remove yours. Alternatively, a supervisor can lock the points until the next shift arrives, or the lead mechanic/mechanic in charge can apply a Company lock after you remove your personal lock, with the understanding that oncoming workers apply their personal locks before the company lock is removed. In most cases it won't be safe to re-test the lockout's effectiveness at shift change.",Workers coming on shift must place their personal locks on all the lock-out points before the workers going off shift remove their locks.,,,question_type=procedure_step; drafted by claude-sonnet-5
G-08-013-05,golden,draft,8,8.13,60,"If I need to be in the pit to watch something while the car moves, what do I have to do first?","You must tag the controller OUT OF SERVICE with a sign stating the elevator is under control of a service person and not to be operated. Use the pit stop switch to eliminate hazards, and make sure to test the pit stop switch before entering the pit. If any other pit entry is needed with the car running, a Job Hazard Analysis must be completed per the pit access policies.",Use the pit stop switch to eliminate any existing hazards. Ensure the pit stop switch is tested before entering the pit.,,,question_type=procedure_step; drafted by claude-sonnet-5
G-08-015-06,golden,draft,8,8.15,61,What has to happen before I'm actually allowed to do LOTOTO work on my own?,"As an authorized employee, you must complete both the initial training course and a hands-on demonstration performing LOTOTO procedures on hydraulic equipment under supervision of an experienced authorized employee before doing it independently. You also must sign the LOTOTO Program Acknowledgement Form after successfully completing training and demonstration, prior to being assigned LOTOTO work. If you leave the company and rejoin within 90 days, you won't need to redo the hands-on demo, but beyond that cutoff you will.",Authorized Employees must complete training (including Hands-On Demo) before they can start using LOTOTO procedures. The cut-off mark for this requirement is 90 days.,,,question_type=threshold; drafted by claude-sonnet-5
G-08-003-07,golden,draft,8,8.3,55,Who's responsible for making sure guys on my crew are actually following LOTOTO the right way?,"Supervisors are responsible for instructing workers on the procedures in this policy, periodically inspecting work practices to check compliance, and immediately initiating corrective action when someone isn't following proper safety procedures. A supervisor can delegate the instruction and compliance follow-up to a mechanic or mechanic in charge, but that delegation must be documented in writing to upper management beforehand.","A Supervisor may delegate the instruction of employees and compliance follow-up to a ""mechanic"" or to the ""mechanic in charge"". That Supervisor must document, in writing, this delegation to upper management prior to delegation.",,,question_type=responsibility; drafted by claude-sonnet-5
G-08-011-08,golden,draft,8,8.11,59,I'm working with 3 other guys on the same job and the disconnect can only take one lock - what do we do?,"Each worker must have their own personal lockout/tagout device on the energy isolating device(s), but when a device can't accept multiple locks, you can use a multiple lockout/tagout device (hasp), or use a single lock on the machine with the key placed in a lockout box that lets multiple people secure the box with their own locks. As each person finishes their part of the work and no longer needs lockout protection, they remove their lock from the box.",a single lock may be used to lockout the machine or equipment with the key being placed in a lockout box which allows the use of multiple locks to secure the box or cabinet.,,,question_type=procedure_step; drafted by claude-sonnet-5
G-08-008-09,golden,draft,8,8.8,58,I need to remove a bunch of escalator steps to work in the truss - what extra precaution do I need besides my regular lockout?,"If you're removing 10% or more of the escalator steps, in addition to lockout/tagout you must activate a mechanical blocking device to keep the escalator from moving. If the unit doesn't have a mechanical blocking device, you must secure the drive chain and/or step axles to the truss braces to prevent movement in either direction.","whenever working within the truss where 10% or more of the escalator steps are removed, a mechanical blocking device shall be activated to prevent the escalator from moving.",,,question_type=threshold; drafted by claude-sonnet-5
G-08-010-10,golden,draft,8,8.10,59,I can't find the guy whose lock is on a machine that needs to run right now - can my supervisor just cut it?,"Yes, but only after every effort has been made to locate the employee, and after positive assurance is made that no one is working on the locked-out equipment and that it's safe. The supervisor must then either make sure the equipment is locked out again before the employee returns to work, or contact the employee, inform them of the situation, and issue a new lock. Any time a supervisor cuts a lock, they must complete the Supervisory Lock Removal form and send it to the Safety Manager.","the supervisor/manager may personally remove the lock. The supervisor/manager must remember that there is a danger of the employee returning, thinking the machine is still locked out.",,,question_type=condition; drafted by claude-sonnet-5
G-12-001-04,golden,draft,12,12.1,88,Can I ride the car top while the elevator is on normal operation just to save time?,"No, never ride the car top with the elevator in normal operation - this is one of the Fundamental Rules. If a technician absolutely must ride the car top for some reason, a written Job Hazard Analysis must be completed, reviewed, and approved by the Supervisor and Safety Manager before doing so, with specific safeguards in place.",NEVER ride the car top with the elevator in normal operation.,,,question_type=rule; drafted by claude-sonnet-5
G-12-002-05,golden,draft,12,12.2,89,How much light do I actually need on the car top to work safely?,"You need at least 10-foot candles of light measured at the point of any elevator part or equipment where maintenance or inspection is performed from the car top, per A17.1-2022 code. Make sure lighting is adequate before starting work on the car top.",Ensure you have enough light on the car top for safe working (10-foot candles is the code minimum measured at the point of any elevator part or equipment where maintenance or inspection is to be performed from the car top A17.1-2022 2.14.7.1.4).,,,question_type=threshold; drafted by claude-sonnet-5
G-12-003-06,golden,draft,12,12.3,90,"When accessing the car top on a unit without an access key switch, which direction do I test the buttons in first once I'm on top?","After stepping onto the car and closing the hoistway door, you test the function of the down, up, and common buttons - always testing in the down direction first. This is to prevent snagging hazards and entrapments in the overhead.","Test the function of the down, up and common buttons. To prevent snagging hazards and entrapments in the overhead, always test operation in the down direction first.",,,question_type=procedure_step; drafted by claude-sonnet-5
G-12-005-07,golden,draft,12,12.5,93,"If I'm working in the hoistway close to the neighboring elevator, how far away does it need to be before I have to do something about it?","If you're working within 20 inches of adjacent moving equipment in the hoistway, you must take precautions such as removing and locking out the adjacent elevator, installing hoistway screening, or screening/barricading the car top work area. Also remember that no more than two people are allowed in a hoistway at once unless a JHA is approved by a supervisor or Branch Manager.","When work is being performed within 20"" of adjacent moving equipment, precautions
shall be taken, such as removing and LOTOTO the adjacent elevator from service,
installing hoistway screening, or screening/barricading the car top work area.",,,question_type=threshold; drafted by claude-sonnet-5
G-12-006-08,golden,draft,12,12.6,95,I'm heading into a deep pit where the ladder is more than 6 feet down and set back from the sill - do I need to clip in?,"Yes, fall protection is required if access to the ladder exposes you to a fall hazard of 6 ft. or greater AND the ladder is farther than 29.5 inches from the interior edge of the door sill, or if the ladder/handholds extend to less than 42 inches above the access landing. This can sometimes be avoided by adding handholds or relocating the ladder, but if that's not feasible a fall protection system must be installed.",Access to the ladder exposes a person to a fall hazard 6 ft. or greater AND the ladder is farther than 29.5 in. from the interior edge of the door sill.,,,question_type=threshold; drafted by claude-sonnet-5
G-12-009-09,golden,draft,12,12.9,98,"If I get blood or something biological on my skin while cleaning a pit, what am I supposed to do right away?","Immediately wash the affected skin surface thoroughly with soap and water. If there was any actual skin penetration by a possibly infectious substance, you must also contact a supervisor immediately in addition to washing.","Any skin surface which comes in contact with blood or other substances should
immediately be washed thoroughly with soap and water.",,,question_type=procedure_step; drafted by claude-sonnet-5
G-12-011-10,golden,draft,12,12.11,99,A building rep tells me the pit is a permit required confined space - can I still just go in and do my maintenance?,"No, do not enter the space without proper training and authorization. If a customer requests compliance with their confined space entry procedures or signage indicates the pit is a permit required confined space, contact your supervisor to resolve the situation before entering.","If a customer makes this request or if signage indicates this condition, contact your supervisor to resolve the situation with the customer. Do not enter the space without proper training and authorization.",,,question_type=condition; drafted by claude-sonnet-5
G-12-012-11,golden,draft,12,12.12,99,The pit I'm working in doesn't have much refuge space - what do I need to set up before going in?,"If the pit doesn't provide at least 20 inches of safe refuge space, you must deploy a blocking device capable of preventing incidental motion, and this must be in place before you enter the pit. You also need a safety sign visible from all access places to communicate the risk, and this blocking device is required even if the unit is already locked out and tagged out.","When working in pits that do not provide safe refuge space of 20 in. (height) or more, a blocking device capable of preventing incidental motion must be deployed.",,,question_type=threshold; drafted by claude-sonnet-5
G-01-007-02,golden,draft,1,1.7,16,I noticed the door open button isn't working on a unit I'm servicing. What am I supposed to do before I leave?,"You must immediately take the elevator out of service since inoperable door open buttons are listed as unsafe equipment. Do not put it back into service until the unsafe condition is fixed. If you can't make the repair yourself, shut off the main line disconnect and lockout/tagout, then contact your supervisor for further instructions, and inform the customer and document it on a time ticket.",Any employee who observes equipment operating unsafely must take the equipment OUT OF SERVICE immediately. DO NOT RETURN UNSAFE EQUIPMENT TO SERVICE until the unsafe condition is eliminated.,,,question_type=procedure_step; drafted by claude-sonnet-5
